status,original_rtd_canonical_url,mintlify_canonical_url,mintlify_route,note
exact_structural_match,https://docs.t3planet.de/en/latest/EXTAyu/Localization/Index.html,http://192.168.0.137:3000/EXTAyu/Localization/Index,/EXTAyu/Localization/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTAyu/PreviewFeature/Index.html,http://192.168.0.137:3000/EXTAyu/PreviewFeature/Index,/EXTAyu/PreviewFeature/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTAyu/UpdateVersion/Index.html,http://192.168.0.137:3000/EXTAyu/UpdateVersion/Index,/EXTAyu/UpdateVersion/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/CustomElements/Index.html,http://192.168.0.137:3000/EXTBootstrap/CustomElements/Index,/EXTBootstrap/CustomElements/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/Customization/Index.html,http://192.168.0.137:3000/EXTBootstrap/Customization/Index,/EXTBootstrap/Customization/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/FlexFormtoContentBlockMigration/Index.html,http://192.168.0.137:3000/EXTBootstrap/FlexFormtoContentBlockMigration/Index,/EXTBootstrap/FlexFormtoContentBlockMigration/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/GlobalSettingsConfiguration/Index.html,http://192.168.0.137:3000/EXTBootstrap/GlobalSettingsConfiguration/Index,/EXTBootstrap/GlobalSettingsConfiguration/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/HelpSupport/Index.html,http://192.168.0.137:3000/EXTBootstrap/HelpSupport/Index,/EXTBootstrap/HelpSupport/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/HelpfulLinks/Index.html,http://192.168.0.137:3000/EXTBootstrap/HelpfulLinks/Index,/EXTBootstrap/HelpfulLinks/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/Index.html,http://192.168.0.137:3000/EXTBootstrap/Index,/EXTBootstrap/Index,"Same route structure, RTD prefix removed, .html removed"
